Birleşik Belirtiler;Triyaj Cevap
iyiyim şu an hiçbir sağlık şikayetim yok şikayetim var;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
boğazım hafif yanıyor ve kuru öksürüğüm var;🟢 DÜŞÜK RİSK: Farenjit veya boğaz tahrişi başlangıcı. Adaçayı ve ılık içecekler tüketin, boğazınızı sıcak tutun ve dinlenin.
göğsümde sıkışma ve şiddetli ağrı var nefes alamıyorum;🔴 ACİL DURUM: Kalp krizi riski yüksek! Hareket etmeyi bırakın, derin nefes almaya çalışın ve derhal 112'yi arayın. En yakın acil servise nakliniz hayati önem taşımaktadır.
bilincim bulanık nerede olduğumu hatırlayamıyorum;🔴 ACİL DURUM: Akut bilinç bulanıklığı. Ciddi bir nörolojik veya metabolik sorun olabilir. Acilen tıbbi yardım almanız gerekmektedir.
şu an bir sorunum yok her şey yolunda gidiyor ve midem bulanıyor;✅ SAĞLIKLI: Çok sevindirici. Sağlıklı yaşam alışkanlıklarınızı sürdürmenizi dileriz. Bir şikayetiniz olursa tekrar danışabilirsiniz.
dizimin üzerine düştüm çok şişti ve basamıyorum durumu yaşıyorum;🟡 ORTA RİSK: Dizde kırık, çatlak veya bağ kopması olabilir. Ortopedi ve Travmatoloji bölümüne başvurarak röntgen çektirmeniz uygun olacaktır.
yüzümde ani bir kayma oldu ve konuşamıyorum durumu yaşıyorum;🔴 ACİL DURUM: İnme (felç) şüphesi! İlk müdahale dakikalar içinde yapılmalıdır. Lütfen hemen 112 acil yardımı çağırın.
boğazım hafif yanıyor ve kuru öksürüğüm var ve midem bulanıyor;🟢 DÜŞÜK RİSK: Farenjit veya boğaz tahrişi başlangıcı. Adaçayı ve ılık içecekler tüketin, boğazınızı sıcak tutun ve dinlenin.
burnum akıyor hapşırıyorum ve biraz halsizim ve başım dönüyor;🟢 DÜŞÜK RİSK: Mevsimsel nezle veya viral bir durum. Bol sıvı tüketin, C vitamini alın ve istirahat edin. Belirtiler şiddetlenirse aile hekimine danışın.
idrar yaparken çok şiddetli yanma ve sancı var ayrıca biraz halsizim;🟡 ORTA RİSK: İdrar yolu enfeksiyonu belirtisidir. Bir Üroloji uzmanına görünerek idrar tahlili yaptırmanız ve uygun tedaviye başlamanız önerilir.
dün ağır spor yaptım bugün her yerim sızlıyor ve başım dönüyor;🟢 DÜŞÜK RİSK: Yoğun egzersiz sonrası kas yorgunluğu. Magnezyum desteği alabilir, ılık bir duş sonrası dinlenebilirsiniz.
iyiyim şu an hiçbir sağlık şikayetim yok ve başım dönüyor;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
idrarım çok koyulaştı ve göz aklarım sarardı;🟡 ORTA RİSK: Karaciğer veya safra yollarında bir tıkanıklık olabilir. Dahiliye (İç Hastalıkları) uzmanına görünmeniz gerekmektedir.
göğsümde sıkışma ve şiddetli ağrı var nefes alamıyorum ve midem bulanıyor;🔴 ACİL DURUM: Kalp krizi riski yüksek! Hareket etmeyi bırakın, derin nefes almaya çalışın ve derhal 112'yi arayın. En yakın acil servise nakliniz hayati önem taşımaktadır.
iyiyim şu an hiçbir sağlık şikayetim yok durumu yaşıyorum;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
kendimi gayet enerjik ve sağlıklı hissediyorum ayrıca biraz halsizim;✅ SAĞLIKLI: Harika! Herhangi bir sağlık sorunu belirtisi göstermiyorsunuz. Rutin kontrollerinizi ihmal etmeden yaşamınıza devam edebilirsiniz.
kendimi gayet enerjik ve sağlıklı hissediyorum;✅ SAĞLIKLI: Harika! Herhangi bir sağlık sorunu belirtisi göstermiyorsunuz. Rutin kontrollerinizi ihmal etmeden yaşamınıza devam edebilirsiniz.
dün ağır spor yaptım bugün her yerim sızlıyor ve midem bulanıyor;🟢 DÜŞÜK RİSK: Yoğun egzersiz sonrası kas yorgunluğu. Magnezyum desteği alabilir, ılık bir duş sonrası dinlenebilirsiniz.
kendimi gayet enerjik ve sağlıklı hissediyorum ayrıca biraz halsizim;✅ SAĞLIKLI: Harika! Herhangi bir sağlık sorunu belirtisi göstermiyorsunuz. Rutin kontrollerinizi ihmal etmeden yaşamınıza devam edebilirsiniz.
fışkırır tarzda durdurulamayan bir kanamam var;🔴 ACİL DURUM: Şiddetli damar kanaması! Temiz bir bezle yaranın üzerine sertçe bastırın ve derhal en yakın acil servise gidin.
kendimi gayet enerjik ve sağlıklı hissediyorum ve midem bulanıyor;✅ SAĞLIKLI: Harika! Herhangi bir sağlık sorunu belirtisi göstermiyorsunuz. Rutin kontrollerinizi ihmal etmeden yaşamınıza devam edebilirsiniz.
yüzümde ani bir kayma oldu ve konuşamıyorum;🔴 ACİL DURUM: İnme (felç) şüphesi! İlk müdahale dakikalar içinde yapılmalıdır. Lütfen hemen 112 acil yardımı çağırın.
karnımın sağ alt tarafı çok şiddetli ağrıyor durumu yaşıyorum;🟡 ORTA RİSK: Apandisit şüphesi olabilir. Durumun netleşmesi için Genel Cerrahi bölümüne muayene olmanız ve ultrason çektirmeniz önerilir.
burnum akıyor hapşırıyorum ve biraz halsizim ve midem bulanıyor;🟢 DÜŞÜK RİSK: Mevsimsel nezle veya viral bir durum. Bol sıvı tüketin, C vitamini alın ve istirahat edin. Belirtiler şiddetlenirse aile hekimine danışın.
boğazım hafif yanıyor ve kuru öksürüğüm var ayrıca biraz halsizim;🟢 DÜŞÜK RİSK: Farenjit veya boğaz tahrişi başlangıcı. Adaçayı ve ılık içecekler tüketin, boğazınızı sıcak tutun ve dinlenin.
bilincim bulanık nerede olduğumu hatırlayamıyorum durumu yaşıyorum;🔴 ACİL DURUM: Akut bilinç bulanıklığı. Ciddi bir nörolojik veya metabolik sorun olabilir. Acilen tıbbi yardım almanız gerekmektedir.
günlerdir geçmeyen şiddetli baş ağrısı ve kusma var;🟡 ORTA RİSK: Tansiyon yüksekliği veya nörolojik bir durum olabilir. Nöroloji bölümünden randevu almanız önerilir.
vücudumda hafif kaşıntı ve kızarıklıklar var durumu yaşıyorum;🟢 DÜŞÜK RİSK: Hafif bir alerjik reaksiyon olabilir. Yakın zamanda yediğiniz gıdaları kontrol edin, yayılma olursa Cildiye uzmanına görünün.
dün ağır spor yaptım bugün her yerim sızlıyor ve midem bulanıyor;🟢 DÜŞÜK RİSK: Yoğun egzersiz sonrası kas yorgunluğu. Magnezyum desteği alabilir, ılık bir duş sonrası dinlenebilirsiniz.
boğazım hafif yanıyor ve kuru öksürüğüm var ayrıca biraz halsizim;🟢 DÜŞÜK RİSK: Farenjit veya boğaz tahrişi başlangıcı. Adaçayı ve ılık içecekler tüketin, boğazınızı sıcak tutun ve dinlenin.
şu an bir sorunum yok her şey yolunda gidiyor ve başım dönüyor;✅ SAĞLIKLI: Çok sevindirici. Sağlıklı yaşam alışkanlıklarınızı sürdürmenizi dileriz. Bir şikayetiniz olursa tekrar danışabilirsiniz.
kendimi gayet enerjik ve sağlıklı hissediyorum ve midem bulanıyor;✅ SAĞLIKLI: Harika! Herhangi bir sağlık sorunu belirtisi göstermiyorsunuz. Rutin kontrollerinizi ihmal etmeden yaşamınıza devam edebilirsiniz.
dizimin üzerine düştüm çok şişti ve basamıyorum ayrıca biraz halsizim;🟡 ORTA RİSK: Dizde kırık, çatlak veya bağ kopması olabilir. Ortopedi ve Travmatoloji bölümüne başvurarak röntgen çektirmeniz uygun olacaktır.
burnum akıyor hapşırıyorum ve biraz halsizim şikayetim var;🟢 DÜŞÜK RİSK: Mevsimsel nezle veya viral bir durum. Bol sıvı tüketin, C vitamini alın ve istirahat edin. Belirtiler şiddetlenirse aile hekimine danışın.
iyiyim şu an hiçbir sağlık şikayetim yok durumu yaşıyorum;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
şu an bir sorunum yok her şey yolunda gidiyor ayrıca biraz halsizim;✅ SAĞLIKLI: Çok sevindirici. Sağlıklı yaşam alışkanlıklarınızı sürdürmenizi dileriz. Bir şikayetiniz olursa tekrar danışabilirsiniz.
idrar yaparken çok şiddetli yanma ve sancı var ve başım dönüyor;🟡 ORTA RİSK: İdrar yolu enfeksiyonu belirtisidir. Bir Üroloji uzmanına görünerek idrar tahlili yaptırmanız ve uygun tedaviye başlamanız önerilir.
yüzümde ani bir kayma oldu ve konuşamıyorum şikayetim var;🔴 ACİL DURUM: İnme (felç) şüphesi! İlk müdahale dakikalar içinde yapılmalıdır. Lütfen hemen 112 acil yardımı çağırın.
boğazım hafif yanıyor ve kuru öksürüğüm var şikayetim var;🟢 DÜŞÜK RİSK: Farenjit veya boğaz tahrişi başlangıcı. Adaçayı ve ılık içecekler tüketin, boğazınızı sıcak tutun ve dinlenin.
dün ağır spor yaptım bugün her yerim sızlıyor ve midem bulanıyor;🟢 DÜŞÜK RİSK: Yoğun egzersiz sonrası kas yorgunluğu. Magnezyum desteği alabilir, ılık bir duş sonrası dinlenebilirsiniz.
yanlışlıkla evdeki temizlik ürünlerinden içtim ve midem bulanıyor;🔴 ACİL DURUM: Kimyasal zehirlenme! Kendinizi asla kusturmaya çalışmayın ve vakit kaybetmeden acil servise başvurun.
boğazım hafif yanıyor ve kuru öksürüğüm var ayrıca biraz halsizim;🟢 DÜŞÜK RİSK: Farenjit veya boğaz tahrişi başlangıcı. Adaçayı ve ılık içecekler tüketin, boğazınızı sıcak tutun ve dinlenin.
hafif bir baş ağrım var sanırım uykusuz kaldım durumu yaşıyorum;🟢 DÜŞÜK RİSK: Stres veya yorgunluk kaynaklı baş ağrısı. Karanlık ve sessiz bir ortamda uyumak size iyi gelecektir.
dün ağır spor yaptım bugün her yerim sızlıyor ve midem bulanıyor;🟢 DÜŞÜK RİSK: Yoğun egzersiz sonrası kas yorgunluğu. Magnezyum desteği alabilir, ılık bir duş sonrası dinlenebilirsiniz.
kendimi gayet enerjik ve sağlıklı hissediyorum ve başım dönüyor;✅ SAĞLIKLI: Harika! Herhangi bir sağlık sorunu belirtisi göstermiyorsunuz. Rutin kontrollerinizi ihmal etmeden yaşamınıza devam edebilirsiniz.
dün ağır spor yaptım bugün her yerim sızlıyor ve midem bulanıyor;🟢 DÜŞÜK RİSK: Yoğun egzersiz sonrası kas yorgunluğu. Magnezyum desteği alabilir, ılık bir duş sonrası dinlenebilirsiniz.
göğsümde sıkışma ve şiddetli ağrı var nefes alamıyorum durumu yaşıyorum;🔴 ACİL DURUM: Kalp krizi riski yüksek! Hareket etmeyi bırakın, derin nefes almaya çalışın ve derhal 112'yi arayın. En yakın acil servise nakliniz hayati önem taşımaktadır.
iyiyim şu an hiçbir sağlık şikayetim yok ve midem bulanıyor;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
şu an bir sorunum yok her şey yolunda gidiyor;✅ SAĞLIKLI: Çok sevindirici. Sağlıklı yaşam alışkanlıklarınızı sürdürmenizi dileriz. Bir şikayetiniz olursa tekrar danışabilirsiniz.
şu an bir sorunum yok her şey yolunda gidiyor;✅ SAĞLIKLI: Çok sevindirici. Sağlıklı yaşam alışkanlıklarınızı sürdürmenizi dileriz. Bir şikayetiniz olursa tekrar danışabilirsiniz.
göğsümde sıkışma ve şiddetli ağrı var nefes alamıyorum ayrıca biraz halsizim;🔴 ACİL DURUM: Kalp krizi riski yüksek! Hareket etmeyi bırakın, derin nefes almaya çalışın ve derhal 112'yi arayın. En yakın acil servise nakliniz hayati önem taşımaktadır.
vücudumda hafif kaşıntı ve kızarıklıklar var;🟢 DÜŞÜK RİSK: Hafif bir alerjik reaksiyon olabilir. Yakın zamanda yediğiniz gıdaları kontrol edin, yayılma olursa Cildiye uzmanına görünün.
yüzümde ani bir kayma oldu ve konuşamıyorum durumu yaşıyorum;🔴 ACİL DURUM: İnme (felç) şüphesi! İlk müdahale dakikalar içinde yapılmalıdır. Lütfen hemen 112 acil yardımı çağırın.
günlerdir geçmeyen şiddetli baş ağrısı ve kusma var;🟡 ORTA RİSK: Tansiyon yüksekliği veya nörolojik bir durum olabilir. Nöroloji bölümünden randevu almanız önerilir.
kendimi gayet enerjik ve sağlıklı hissediyorum ve başım dönüyor;✅ SAĞLIKLI: Harika! Herhangi bir sağlık sorunu belirtisi göstermiyorsunuz. Rutin kontrollerinizi ihmal etmeden yaşamınıza devam edebilirsiniz.
dizimin üzerine düştüm çok şişti ve basamıyorum durumu yaşıyorum;🟡 ORTA RİSK: Dizde kırık, çatlak veya bağ kopması olabilir. Ortopedi ve Travmatoloji bölümüne başvurarak röntgen çektirmeniz uygun olacaktır.
kendimi gayet enerjik ve sağlıklı hissediyorum şikayetim var;✅ SAĞLIKLI: Harika! Herhangi bir sağlık sorunu belirtisi göstermiyorsunuz. Rutin kontrollerinizi ihmal etmeden yaşamınıza devam edebilirsiniz.
yüzümde ani bir kayma oldu ve konuşamıyorum şikayetim var;🔴 ACİL DURUM: İnme (felç) şüphesi! İlk müdahale dakikalar içinde yapılmalıdır. Lütfen hemen 112 acil yardımı çağırın.
şu an bir sorunum yok her şey yolunda gidiyor şikayetim var;✅ SAĞLIKLI: Çok sevindirici. Sağlıklı yaşam alışkanlıklarınızı sürdürmenizi dileriz. Bir şikayetiniz olursa tekrar danışabilirsiniz.
fışkırır tarzda durdurulamayan bir kanamam var durumu yaşıyorum;🔴 ACİL DURUM: Şiddetli damar kanaması! Temiz bir bezle yaranın üzerine sertçe bastırın ve derhal en yakın acil servise gidin.
bilincim bulanık nerede olduğumu hatırlayamıyorum;🔴 ACİL DURUM: Akut bilinç bulanıklığı. Ciddi bir nörolojik veya metabolik sorun olabilir. Acilen tıbbi yardım almanız gerekmektedir.
bilincim bulanık nerede olduğumu hatırlayamıyorum ve midem bulanıyor;🔴 ACİL DURUM: Akut bilinç bulanıklığı. Ciddi bir nörolojik veya metabolik sorun olabilir. Acilen tıbbi yardım almanız gerekmektedir.
bilincim bulanık nerede olduğumu hatırlayamıyorum ve midem bulanıyor;🔴 ACİL DURUM: Akut bilinç bulanıklığı. Ciddi bir nörolojik veya metabolik sorun olabilir. Acilen tıbbi yardım almanız gerekmektedir.
vücudumda hafif kaşıntı ve kızarıklıklar var şikayetim var;🟢 DÜŞÜK RİSK: Hafif bir alerjik reaksiyon olabilir. Yakın zamanda yediğiniz gıdaları kontrol edin, yayılma olursa Cildiye uzmanına görünün.
yüzümde ani bir kayma oldu ve konuşamıyorum ve başım dönüyor;🔴 ACİL DURUM: İnme (felç) şüphesi! İlk müdahale dakikalar içinde yapılmalıdır. Lütfen hemen 112 acil yardımı çağırın.
iyiyim şu an hiçbir sağlık şikayetim yok ve başım dönüyor;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
fışkırır tarzda durdurulamayan bir kanamam var ve başım dönüyor;🔴 ACİL DURUM: Şiddetli damar kanaması! Temiz bir bezle yaranın üzerine sertçe bastırın ve derhal en yakın acil servise gidin.
dizimin üzerine düştüm çok şişti ve basamıyorum ve başım dönüyor;🟡 ORTA RİSK: Dizde kırık, çatlak veya bağ kopması olabilir. Ortopedi ve Travmatoloji bölümüne başvurarak röntgen çektirmeniz uygun olacaktır.
günlerdir geçmeyen şiddetli baş ağrısı ve kusma var durumu yaşıyorum;🟡 ORTA RİSK: Tansiyon yüksekliği veya nörolojik bir durum olabilir. Nöroloji bölümünden randevu almanız önerilir.
dizimin üzerine düştüm çok şişti ve basamıyorum ayrıca biraz halsizim;🟡 ORTA RİSK: Dizde kırık, çatlak veya bağ kopması olabilir. Ortopedi ve Travmatoloji bölümüne başvurarak röntgen çektirmeniz uygun olacaktır.
şu an bir sorunum yok her şey yolunda gidiyor ve midem bulanıyor;✅ SAĞLIKLI: Çok sevindirici. Sağlıklı yaşam alışkanlıklarınızı sürdürmenizi dileriz. Bir şikayetiniz olursa tekrar danışabilirsiniz.
şu an bir sorunum yok her şey yolunda gidiyor ayrıca biraz halsizim;✅ SAĞLIKLI: Çok sevindirici. Sağlıklı yaşam alışkanlıklarınızı sürdürmenizi dileriz. Bir şikayetiniz olursa tekrar danışabilirsiniz.
hafif bir baş ağrım var sanırım uykusuz kaldım şikayetim var;🟢 DÜŞÜK RİSK: Stres veya yorgunluk kaynaklı baş ağrısı. Karanlık ve sessiz bir ortamda uyumak size iyi gelecektir.
fışkırır tarzda durdurulamayan bir kanamam var ve midem bulanıyor;🔴 ACİL DURUM: Şiddetli damar kanaması! Temiz bir bezle yaranın üzerine sertçe bastırın ve derhal en yakın acil servise gidin.
fışkırır tarzda durdurulamayan bir kanamam var ve başım dönüyor;🔴 ACİL DURUM: Şiddetli damar kanaması! Temiz bir bezle yaranın üzerine sertçe bastırın ve derhal en yakın acil servise gidin.
bilincim bulanık nerede olduğumu hatırlayamıyorum;🔴 ACİL DURUM: Akut bilinç bulanıklığı. Ciddi bir nörolojik veya metabolik sorun olabilir. Acilen tıbbi yardım almanız gerekmektedir.
yanlışlıkla evdeki temizlik ürünlerinden içtim ve midem bulanıyor;🔴 ACİL DURUM: Kimyasal zehirlenme! Kendinizi asla kusturmaya çalışmayın ve vakit kaybetmeden acil servise başvurun.
günlerdir geçmeyen şiddetli baş ağrısı ve kusma var durumu yaşıyorum;🟡 ORTA RİSK: Tansiyon yüksekliği veya nörolojik bir durum olabilir. Nöroloji bölümünden randevu almanız önerilir.
yüzümde ani bir kayma oldu ve konuşamıyorum ayrıca biraz halsizim;🔴 ACİL DURUM: İnme (felç) şüphesi! İlk müdahale dakikalar içinde yapılmalıdır. Lütfen hemen 112 acil yardımı çağırın.
burnum akıyor hapşırıyorum ve biraz halsizim;🟢 DÜŞÜK RİSK: Mevsimsel nezle veya viral bir durum. Bol sıvı tüketin, C vitamini alın ve istirahat edin. Belirtiler şiddetlenirse aile hekimine danışın.
iyiyim şu an hiçbir sağlık şikayetim yok;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
iyiyim şu an hiçbir sağlık şikayetim yok;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
kulağımdan iltihap geliyor ve iç tarafı çok ağrıyor ayrıca biraz halsizim;🟡 ORTA RİSK: Orta kulak iltihabı (Otis) olabilir. İşitme kaybı riskine karşı KBB uzmanına muayene olmanız gerekir.
fışkırır tarzda durdurulamayan bir kanamam var ve başım dönüyor;🔴 ACİL DURUM: Şiddetli damar kanaması! Temiz bir bezle yaranın üzerine sertçe bastırın ve derhal en yakın acil servise gidin.
günlerdir geçmeyen şiddetli baş ağrısı ve kusma var ve başım dönüyor;🟡 ORTA RİSK: Tansiyon yüksekliği veya nörolojik bir durum olabilir. Nöroloji bölümünden randevu almanız önerilir.
idrarım çok koyulaştı ve göz aklarım sarardı şikayetim var;🟡 ORTA RİSK: Karaciğer veya safra yollarında bir tıkanıklık olabilir. Dahiliye (İç Hastalıkları) uzmanına görünmeniz gerekmektedir.
kendimi gayet enerjik ve sağlıklı hissediyorum durumu yaşıyorum;✅ SAĞLIKLI: Harika! Herhangi bir sağlık sorunu belirtisi göstermiyorsunuz. Rutin kontrollerinizi ihmal etmeden yaşamınıza devam edebilirsiniz.
karnımın sağ alt tarafı çok şiddetli ağrıyor ve başım dönüyor;🟡 ORTA RİSK: Apandisit şüphesi olabilir. Durumun netleşmesi için Genel Cerrahi bölümüne muayene olmanız ve ultrason çektirmeniz önerilir.
vücudumda hafif kaşıntı ve kızarıklıklar var;🟢 DÜŞÜK RİSK: Hafif bir alerjik reaksiyon olabilir. Yakın zamanda yediğiniz gıdaları kontrol edin, yayılma olursa Cildiye uzmanına görünün.
burnum akıyor hapşırıyorum ve biraz halsizim ve başım dönüyor;🟢 DÜŞÜK RİSK: Mevsimsel nezle veya viral bir durum. Bol sıvı tüketin, C vitamini alın ve istirahat edin. Belirtiler şiddetlenirse aile hekimine danışın.
yüzümde ani bir kayma oldu ve konuşamıyorum durumu yaşıyorum;🔴 ACİL DURUM: İnme (felç) şüphesi! İlk müdahale dakikalar içinde yapılmalıdır. Lütfen hemen 112 acil yardımı çağırın.
yüzümde ani bir kayma oldu ve konuşamıyorum ayrıca biraz halsizim;🔴 ACİL DURUM: İnme (felç) şüphesi! İlk müdahale dakikalar içinde yapılmalıdır. Lütfen hemen 112 acil yardımı çağırın.
karnımın sağ alt tarafı çok şiddetli ağrıyor ayrıca biraz halsizim;🟡 ORTA RİSK: Apandisit şüphesi olabilir. Durumun netleşmesi için Genel Cerrahi bölümüne muayene olmanız ve ultrason çektirmeniz önerilir.
hafif bir baş ağrım var sanırım uykusuz kaldım şikayetim var;🟢 DÜŞÜK RİSK: Stres veya yorgunluk kaynaklı baş ağrısı. Karanlık ve sessiz bir ortamda uyumak size iyi gelecektir.
idrar yaparken çok şiddetli yanma ve sancı var ayrıca biraz halsizim;🟡 ORTA RİSK: İdrar yolu enfeksiyonu belirtisidir. Bir Üroloji uzmanına görünerek idrar tahlili yaptırmanız ve uygun tedaviye başlamanız önerilir.
yanlışlıkla evdeki temizlik ürünlerinden içtim ve midem bulanıyor;🔴 ACİL DURUM: Kimyasal zehirlenme! Kendinizi asla kusturmaya çalışmayın ve vakit kaybetmeden acil servise başvurun.
göğsümde sıkışma ve şiddetli ağrı var nefes alamıyorum ve başım dönüyor;🔴 ACİL DURUM: Kalp krizi riski yüksek! Hareket etmeyi bırakın, derin nefes almaya çalışın ve derhal 112'yi arayın. En yakın acil servise nakliniz hayati önem taşımaktadır.
karnımın sağ alt tarafı çok şiddetli ağrıyor durumu yaşıyorum;🟡 ORTA RİSK: Apandisit şüphesi olabilir. Durumun netleşmesi için Genel Cerrahi bölümüne muayene olmanız ve ultrason çektirmeniz önerilir.
boğazım hafif yanıyor ve kuru öksürüğüm var ayrıca biraz halsizim;🟢 DÜŞÜK RİSK: Farenjit veya boğaz tahrişi başlangıcı. Adaçayı ve ılık içecekler tüketin, boğazınızı sıcak tutun ve dinlenin.
vücudumda hafif kaşıntı ve kızarıklıklar var durumu yaşıyorum;🟢 DÜŞÜK RİSK: Hafif bir alerjik reaksiyon olabilir. Yakın zamanda yediğiniz gıdaları kontrol edin, yayılma olursa Cildiye uzmanına görünün.
burnum akıyor hapşırıyorum ve biraz halsizim ayrıca biraz halsizim;🟢 DÜŞÜK RİSK: Mevsimsel nezle veya viral bir durum. Bol sıvı tüketin, C vitamini alın ve istirahat edin. Belirtiler şiddetlenirse aile hekimine danışın.
kendimi gayet enerjik ve sağlıklı hissediyorum durumu yaşıyorum;✅ SAĞLIKLI: Harika! Herhangi bir sağlık sorunu belirtisi göstermiyorsunuz. Rutin kontrollerinizi ihmal etmeden yaşamınıza devam edebilirsiniz.
sol kolum uyuşuyor ve kalbim çok sıkışıyor;🔴 ACİL DURUM: Kardiyak bir kriz belirtisidir. Vakit kaybetmeden bir yakınınızdan yardım isteyin ve en yakın hastanenin acil servisine başvurun.
karnımın sağ alt tarafı çok şiddetli ağrıyor ve midem bulanıyor;🟡 ORTA RİSK: Apandisit şüphesi olabilir. Durumun netleşmesi için Genel Cerrahi bölümüne muayene olmanız ve ultrason çektirmeniz önerilir.
günlerdir geçmeyen şiddetli baş ağrısı ve kusma var şikayetim var;🟡 ORTA RİSK: Tansiyon yüksekliği veya nörolojik bir durum olabilir. Nöroloji bölümünden randevu almanız önerilir.
günlerdir geçmeyen şiddetli baş ağrısı ve kusma var ve başım dönüyor;🟡 ORTA RİSK: Tansiyon yüksekliği veya nörolojik bir durum olabilir. Nöroloji bölümünden randevu almanız önerilir.
hafif bir baş ağrım var sanırım uykusuz kaldım;🟢 DÜŞÜK RİSK: Stres veya yorgunluk kaynaklı baş ağrısı. Karanlık ve sessiz bir ortamda uyumak size iyi gelecektir.
kulağımdan iltihap geliyor ve iç tarafı çok ağrıyor ve başım dönüyor;🟡 ORTA RİSK: Orta kulak iltihabı (Otis) olabilir. İşitme kaybı riskine karşı KBB uzmanına muayene olmanız gerekir.
günlerdir geçmeyen şiddetli baş ağrısı ve kusma var ve başım dönüyor;🟡 ORTA RİSK: Tansiyon yüksekliği veya nörolojik bir durum olabilir. Nöroloji bölümünden randevu almanız önerilir.
kulağımdan iltihap geliyor ve iç tarafı çok ağrıyor ve midem bulanıyor;🟡 ORTA RİSK: Orta kulak iltihabı (Otis) olabilir. İşitme kaybı riskine karşı KBB uzmanına muayene olmanız gerekir.
göğsümde sıkışma ve şiddetli ağrı var nefes alamıyorum durumu yaşıyorum;🔴 ACİL DURUM: Kalp krizi riski yüksek! Hareket etmeyi bırakın, derin nefes almaya çalışın ve derhal 112'yi arayın. En yakın acil servise nakliniz hayati önem taşımaktadır.
boğazım hafif yanıyor ve kuru öksürüğüm var şikayetim var;🟢 DÜŞÜK RİSK: Farenjit veya boğaz tahrişi başlangıcı. Adaçayı ve ılık içecekler tüketin, boğazınızı sıcak tutun ve dinlenin.
bilincim bulanık nerede olduğumu hatırlayamıyorum ve başım dönüyor;🔴 ACİL DURUM: Akut bilinç bulanıklığı. Ciddi bir nörolojik veya metabolik sorun olabilir. Acilen tıbbi yardım almanız gerekmektedir.
iyiyim şu an hiçbir sağlık şikayetim yok;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
idrar yaparken çok şiddetli yanma ve sancı var;🟡 ORTA RİSK: İdrar yolu enfeksiyonu belirtisidir. Bir Üroloji uzmanına görünerek idrar tahlili yaptırmanız ve uygun tedaviye başlamanız önerilir.
yüzümde ani bir kayma oldu ve konuşamıyorum ayrıca biraz halsizim;🔴 ACİL DURUM: İnme (felç) şüphesi! İlk müdahale dakikalar içinde yapılmalıdır. Lütfen hemen 112 acil yardımı çağırın.
dün ağır spor yaptım bugün her yerim sızlıyor ayrıca biraz halsizim;🟢 DÜŞÜK RİSK: Yoğun egzersiz sonrası kas yorgunluğu. Magnezyum desteği alabilir, ılık bir duş sonrası dinlenebilirsiniz.
idrarım çok koyulaştı ve göz aklarım sarardı ve başım dönüyor;🟡 ORTA RİSK: Karaciğer veya safra yollarında bir tıkanıklık olabilir. Dahiliye (İç Hastalıkları) uzmanına görünmeniz gerekmektedir.
burnum akıyor hapşırıyorum ve biraz halsizim ayrıca biraz halsizim;🟢 DÜŞÜK RİSK: Mevsimsel nezle veya viral bir durum. Bol sıvı tüketin, C vitamini alın ve istirahat edin. Belirtiler şiddetlenirse aile hekimine danışın.
yüzümde ani bir kayma oldu ve konuşamıyorum;🔴 ACİL DURUM: İnme (felç) şüphesi! İlk müdahale dakikalar içinde yapılmalıdır. Lütfen hemen 112 acil yardımı çağırın.
bilincim bulanık nerede olduğumu hatırlayamıyorum ve midem bulanıyor;🔴 ACİL DURUM: Akut bilinç bulanıklığı. Ciddi bir nörolojik veya metabolik sorun olabilir. Acilen tıbbi yardım almanız gerekmektedir.
iyiyim şu an hiçbir sağlık şikayetim yok ayrıca biraz halsizim;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
dizimin üzerine düştüm çok şişti ve basamıyorum ve midem bulanıyor;🟡 ORTA RİSK: Dizde kırık, çatlak veya bağ kopması olabilir. Ortopedi ve Travmatoloji bölümüne başvurarak röntgen çektirmeniz uygun olacaktır.
